,track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo,album,trackName
425,7k4t7uLgtOxPwTpFmtJNTY,77,0.803,0.715,-3.28,0.574,0.298,0.000134,101.085,Tusa,Tusa
426,0Qzs7eyyx6Il1qkA4wqUHm,61,0.712,0.885,-2.96,0.661,0.0605,0.0,115.009,HEART*IZ,Violeta
427,2o9LAypwGH4ctV0i9boo6d,66,0.648,0.681,-8.389,0.767,0.0378,0.00783,157.941,Changes,Come Around Me
429,03TzvVWdkVbLT9pzewYiDw,50,0.587,0.635,-6.369,0.758,0.422,0.0,82.517,Funeral,I Don't Sleep (ft. Takeoff)
430,7uQZVznj0uQOGC9KhV2Mg6,73,0.806,0.653,-6.283,0.85,0.0902,0.000784,150.058,LALISA,LALISA
431,26AmP3ukYC4Zs9lSGlh55I,67,0.573,0.66,-8.304,0.461,0.0609,0.149,172.072,Take me home,Take me home
433,1kS19ChQGwicssvOGh2w6M,38,0.754,0.565,-5.147,0.264,0.0539,1.43e-06,118.027,5 STAR,5 STAR
434,4A8cWXxKfIL3lAyUDzXbCF,75,0.825,0.414,-6.634,0.106,0.144,0.0,72.993,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Super Gremlin
435,02WDt2eCNOU2mt0DF5w678,58,0.677,0.558,-7.681,0.384,0.177,0.0,144.485,Heavy,Heavy (with Lil Uzi Vert)
437,5N1o6d8zGcSZSeMFkOUQOk,67,0.872,0.814,-4.568,0.57,0.155,1.96e-06,98.985,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)
438,4AH6H9E36YcyVRhcxcP00x,54,0.743,0.907,-3.941,0.895,0.0745,0.0,104.012,Metro Antistrofa,"Metro Antistrofa - 5, 4, 3, 2, 1"
439,0mL82sxCRjrs3br407IdJh,86,0.702,0.586,-7.83,0.608,0.0313,7.27e-05,134.951,Dawn FM,Is There Someone Else?
440,6k67RdkVjTZj79c1cRz7IQ,67,0.572,0.964,-1.949,0.519,0.123,0.0,129.979,TREASURE EP.FIN: All To Action,WONDERLAND
441,2a1o6ZejUi8U3wzzOtCOYw,80,0.4,0.915,-4.89,0.878,0.28,0.0,88.917,Meet The Orphans,Danza Kuduro
443,6bS9w12VuyaqkbNKnw5zZE,58,0.656,0.875,-2.739,0.708,0.0463,0.0,88.938,Formula of Love: O+T=<3,"1, 3, 2 (JEONGYEON, MINA, TZUYU)"
445,5vAEnWrHxLv78uwZrAJcX6,53,0.77,0.715,-5.92,0.468,0.045,0.0018,150.027,Queen,Thought I Knew You (feat. The Weeknd)
447,1XyzcGhmO7iUamSS94XfqY,1,0.808,0.903,-2.179,0.922,0.0729,0.0,120.044,The Feels,The Feels
449,3NWrHCwvyII4fTx05PN3IO,66,0.764,0.676,-6.761,0.461,0.0927,0.0,97.02,Shoot For The Stars Aim For The Moon,Enjoy Yourself (feat. Karol G)
450,0rhI6gvOeCKA502RdJAbfs,83,0.712,0.893,-3.995,0.828,0.0851,0.0,125.022,The Name Chapter: TEMPTATION,Sugar Rush Ride
453,31tgCy8mn6sFuIiHSHfEhm,59,0.951,0.484,-10.591,0.383,0.337,0.0,124.04,Perfect (Remix) (feat. Doja Cat & BIA),Perfect (Remix) (feat. Doja Cat & BIA)
454,7xoUc6faLbCqZO6fQEYprd,84,0.628,0.593,-5.036,0.104,0.0323,1.65e-06,125.026,My Everything,One Last Time
455,5cTnKClHyczcUhFT8MKBZe,74,0.482,0.884,-4.538,0.377,0.0668,0.000575,171.915,SPIN OFF : FROM THE WITNESS,HALAZIA
457,3vsfL1GdEMvoUs59KERxPx,46,0.605,0.418,-6.436,0.188,0.0523,2.59e-05,74.043,There And Back Again,Wildfire
458,7louodH5FUYuL3yvHQtq3O,50,0.669,0.84,-3.176,0.483,0.0599,0.0,105.009,Eyes Wide Open,BELIEVER
