,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe,track_uri,artist_uri,genres
5639,Kacey Musgraves,Same Trailer Different Park,Follow Your Arrow,4CLPNURPcKztF9RRdcWLGP,0.448,0.649,5,-5.925,1,0.0434,0.0,0.0976,0.575,195.925,199640,4,0.418,67,1/1/13,chill,4CLPNURPcKztF9RRdcWLGP,70kkdajctXSbqSMJbQO424,contemporary country
5640,Kacey Musgraves,Same Trailer Different Park,Follow Your Arrow,4CLPNURPcKztF9RRdcWLGP,0.448,0.649,5,-5.925,1,0.0434,0.0,0.0976,0.575,195.925,199640,4,0.418,67,1/1/13,chill,4CLPNURPcKztF9RRdcWLGP,70kkdajctXSbqSMJbQO424,country dawn
5641,Hailey Whitters,Raised,Our Grass Is Legal,5WREsIXrQ8pleixunsClED,0.674,0.745,9,-6.936,1,0.0353,6.61e-05,0.0804,0.81,81.976,252467,4,0.259,31,3/18/22,chill,5WREsIXrQ8pleixunsClED,4e9TBaTlI3LVQz3tkTYC0I,contemporary country
5642,Hailey Whitters,Raised,Our Grass Is Legal,5WREsIXrQ8pleixunsClED,0.674,0.745,9,-6.936,1,0.0353,6.61e-05,0.0804,0.81,81.976,252467,4,0.259,31,3/18/22,chill,5WREsIXrQ8pleixunsClED,4e9TBaTlI3LVQz3tkTYC0I,modern country pop
5643,Corey Smith,Daddy's Weed,Daddy's Weed,2ecckyK40HInSrKyGwRWNj,0.693,0.643,0,-9.84,1,0.0329,0.0,0.152,0.622,94.983,241240,4,0.212,42,3/3/23,chill,2ecckyK40HInSrKyGwRWNj,2Da6v0shOpKrOG07ZxonXo,
5644,Toby Keith,Wacky Tobaccy,Wacky Tobaccy,7hhhV61dsJvZmS526eGC1f,0.762,0.921,4,-5.041,1,0.0478,2.98e-06,0.364,0.851,109.055,182160,4,0.0511,39,6/23/17,chill,7hhhV61dsJvZmS526eGC1f,2bA6fzP0lMAQ4kz6CF61w8,classic oklahoma country
5645,Toby Keith,Wacky Tobaccy,Wacky Tobaccy,7hhhV61dsJvZmS526eGC1f,0.762,0.921,4,-5.041,1,0.0478,2.98e-06,0.364,0.851,109.055,182160,4,0.0511,39,6/23/17,chill,7hhhV61dsJvZmS526eGC1f,2bA6fzP0lMAQ4kz6CF61w8,contemporary country
5646,Toby Keith,Wacky Tobaccy,Wacky Tobaccy,7hhhV61dsJvZmS526eGC1f,0.762,0.921,4,-5.041,1,0.0478,2.98e-06,0.364,0.851,109.055,182160,4,0.0511,39,6/23/17,chill,7hhhV61dsJvZmS526eGC1f,2bA6fzP0lMAQ4kz6CF61w8,country
5647,Toby Keith,Wacky Tobaccy,Wacky Tobaccy,7hhhV61dsJvZmS526eGC1f,0.762,0.921,4,-5.041,1,0.0478,2.98e-06,0.364,0.851,109.055,182160,4,0.0511,39,6/23/17,chill,7hhhV61dsJvZmS526eGC1f,2bA6fzP0lMAQ4kz6CF61w8,country road
5648,Raleigh Keegan,Easy on the Trigger,Easy on the Trigger,1MG6WgoUuXCaPIWMqOQqn6,0.559,0.804,5,-4.533,0,0.103,1.58e-06,0.223,0.755,170.007,153205,4,0.0358,26,4/23/21,chill,1MG6WgoUuXCaPIWMqOQqn6,1mDIaHzalOaN9oX7hHnpXV,
