,track_uri,popularity,danceability,energy,loudness,valence,acousticness,speechiness,instrumentalness,tempo,genres,artist_uri
203,4GFJRLgxy4chyfWqfPTJaI,0,0.849,0.613,-4.796,0.673,0.0566,0.0715,0.0,94.75,"['dance pop', 'pop rap', 'reggae fusion']",5EvFsr3kj42KNv97ZEnqij
204,1CIR7UAbM5j9hcThZS8Dkz,44,0.674,0.474,-6.662,0.448,0.523,0.0374,2.41e-05,132.968,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",57g2v7gJZepcwsuwssIfZs
205,7vLmaFUyjnRDItdkBEo9Rf,0,0.651,0.576,-9.159,0.51,0.682,0.0323,0.0,89.987,['v-pop'],0UzTVrRT0KTsJDxmlcGfQG
206,7auzpFwCwJhgwkQ8jQdtWb,41,0.246,0.0735,-24.199,0.0378,0.994,0.0675,0.894,66.541,"['classical guitar', 'latin classical', 'mexican classical']",3sam97auWZppQpYU1HWNxK
207,63q4o5Nh1ykbhdo4rKEW9c,52,0.743,0.445,-8.663,0.353,0.287,0.0555,0.0,96.023,['v-pop'],1L1VfizWn4DkFt602yD80U
208,1iIhGHzzrzqQfuNkFI2qAn,68,0.874,0.787,-2.416,0.896,0.118,0.129,0.0,108.007,"['k-pop', 'korean r&b']",4XpUIb8uuNlIWVKmgKZXC0
209,1JS8UaOCMIiw1DKXzxGivM,41,0.849,0.722,-4.776,0.285,0.374,0.0361,2.91e-05,128.007,['vietnamese hip hop'],2OkxNsNz7QXCBwlME0fSsk
210,32nainF4TXsMpuFOGCkzzM,61,0.674,0.649,-5.869,0.6,0.285,0.0451,0.0585,86.985,"['c-pop', 'mandopop', 'taiwan pop', 'zhongguo feng']",2elBjNSdBE2Y3f0j1mjrql
211,4NpDZPwSXmL0cCTaJuVrCw,69,0.679,0.522,-5.603,0.445,0.297,0.0427,0.0,60.014,"['chicago rap', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",3KV3p5EY4AvKxOlhGHORLg
212,2XjbfQQZlPwOMTmJR2RLfC,44,0.647,0.624,-4.169,0.176,0.54,0.0397,0.0,136.036,"['danish pop', 'scandipop']",25u4wHJWxCA9vO0CzxAbK7
213,6NGjqgECIVBR9KZTlgs0ik,31,0.737,0.641,-6.398,0.328,0.719,0.117,0.0,85.976,"['indie viet', 'v-pop', 'vietnamese hip hop']",6zUWZmyi5MLOEynQ5wCI5f
214,7py16W5fWYLFFS6BElKAjn,59,0.605,0.77,-3.645,0.298,0.0431,0.0446,0.0,130.037,"['pop', 'uk dance', 'uk funky']",6MDME20pz9RveH9rEXvrOM
215,25h0TqC9H3BcMA7KjK5nHK,68,0.56,0.42,-10.729,0.585,0.882,0.257,0.000605,173.695,['v-pop'],6d0dLenjy5CnR5ZMn2agiV
216,1xzi1Jcr7mEi9K2RfzLOqS,89,0.78,0.689,-5.668,0.642,0.0368,0.141,9.69e-06,115.042,"['pop', 'r&b']",6vWDO969PvNqNYHIOW5v0m
217,0SmQ0UWeiHKQtxUej4Rem6,56,0.67,0.618,-5.467,0.251,0.128,0.0377,0.0,147.015,['v-pop'],6CGGvCBHWqQ4HXtn5aLhbh
218,0gplL1WMoJ6iYaPgMCL0gX,84,0.604,0.366,-7.519,0.13,0.578,0.0282,0.0,141.981,"['british soul', 'pop', 'pop soul', 'uk pop']",4dpARuHxo51G3z768sgnrY
219,2aksifNn5ph8igDOkPBA02,0,0.509,0.637,-4.83,0.378,0.0717,0.0471,1.08e-05,172.006,"['barbadian pop', 'pop', 'urban contemporary']",5pKCCKE2ajJHZ9KAiaK11H
220,4jK1VQQGDnNOLfyVXCxGsR,48,0.563,0.414,-11.409,0.446,0.0298,0.37,0.0,193.549,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",67nwj3Y5sZQLl72VNUHEYE
221,4fBZ8DOoxcZeEl7GyQdnUF,45,0.59,0.548,-8.491,0.552,0.837,0.026,0.0411,130.106,"['indie viet', 'rock viet', 'v-pop', 'vietnamese singer-songwriter']",57g2v7gJZepcwsuwssIfZs
222,4i2qxFEVVUi8yOYoxB8TCX,79,0.699,0.805,-5.535,0.232,0.00161,0.0345,0.00177,109.976,['pop'],5YGY8feqx7naU7z4HrwZM6
223,4QeoDcR16IHpmmgFGQDrCp,55,0.72,0.727,-3.882,0.481,0.0556,0.0489,0.0,99.994,"['piano rock', 'pop']",5Pwc4xIPtQLFEnJriah9YJ
224,3LGxef3inmn5jMLGDz9lqw,0,0.69,0.524,-8.39,0.562,0.0415,0.103,3.16e-06,164.023,"['british soul', 'pop', 'pop soul', 'uk pop']",4dpARuHxo51G3z768sgnrY
225,7oK9VyNzrYvRFo7nQEYkWN,9,0.356,0.924,-3.74,0.232,0.00101,0.0808,0.0,148.017,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",0C0XlULifJtAgn6ZNCW2eu
226,376KnY4TrgBITxjlnbnmIy,58,0.875,0.673,-4.184,0.231,0.135,0.0932,0.0,130.0,"['southern hip hop', 'trap']",1Zatb2YN4erBOoSivOXc0o
227,6iXGivPFpsqKmrINhIbPvx,60,0.704,0.542,-4.663,0.386,0.476,0.0307,0.000196,97.006,"['v-pop', 'vietnamese hip hop', 'vietnamese singer-songwriter']",7H9jPV9qWyp6V629038aXU
228,0azC730Exh71aQlOt9Zj3y,84,0.631,0.927,-2.787,0.465,0.199,0.0332,0.119,123.962,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",7CajNmpbOovFoOoasH2HaY
229,65NwOZqoXny4JxqAPlfxRF,0,0.74,0.558,-8.115,0.421,0.566,0.102,0.0,140.057,"['dfw rap', 'melodic rap', 'pop', 'rap']",246dkjvS1zLTtiykXe5h60
230,0bzbvANY6oETSJLc0wlVGY,12,0.359,0.543,-7.582,0.453,0.492,0.0915,1.57e-05,68.504,['pop'],06HL4z0CvFAxyc27GXpf02
231,3hFG4jR5stnIQJDI64KlJY,0,0.632,0.732,-3.498,0.317,0.105,0.092,1.15e-05,159.0,"['dfw rap', 'melodic rap', 'pop', 'rap']",246dkjvS1zLTtiykXe5h60
232,3ebXMykcMXOcLeJ9xZ17XH,78,0.584,0.54,-7.786,0.195,0.0895,0.0576,0.0,137.972,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",60d24wfXkVzDSfLS6hyCjZ
233,2m6Ko3CY1qXNNja8AlugNc,78,0.559,0.559,-6.425,0.338,0.0145,0.0358,0.0,72.498,"['australian pop', 'pop', 'viral pop']",3WGpXCj9YhhfX11TToZcXP
234,2bKhIGdMdcqCqQ2ZhSv5nE,0,0.564,0.737,-4.079,0.211,0.0175,0.0414,0.0,104.764,"['edm', 'electronic trap', 'pop', 'pop dance']",540vIaP2JwjQb9dm3aArA4
235,3b34161QoxLwsqhWSPy9i5,61,0.676,0.4,-10.771,0.347,0.855,0.0405,2.71e-06,90.028,"['indie viet', 'v-pop', 'vietnamese hip hop']",6zUWZmyi5MLOEynQ5wCI5f
236,3HVr6jTVwBHBa2flM0eURR,0,0.731,0.794,-5.126,0.356,0.0323,0.0522,2.59e-05,139.994,"['pop rap', 'seattle hip hop']",3JhNCzhSMTxs9WLGJJxWOY
237,5aaY8s8X72TDkuNutmWqgl,40,0.689,0.839,-7.691,0.512,0.0384,0.0331,2.6e-06,120.05,"['v-pop', 'vietnamese hip hop']",4w5vfLTFKwpd16ZzmYwcXA
238,6OGogr19zPTM4BALXuMQpF,69,0.748,0.74,-6.01,0.518,0.0107,0.0484,2.18e-05,121.004,"['canadian contemporary r&b', 'canadian pop', 'pop']",1Xyo4u8uXC1ZmMpatF05PJ
239,4ckuS4Nj4FZ7i3Def3Br8W,67,0.806,0.558,-6.538,0.26,0.00496,0.172,1.45e-06,85.011,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",3TVXtAsR1Inumwj472S9r4
240,1huvTbEYtgltjQRXzrNKGi,73,0.806,0.608,-7.008,0.849,0.0113,0.0659,0.0,95.049,"['pop', 'uk pop']",6eUKZXaKkcviH0Ku9w2n3V
241,3lp9ykWetDT0QVEXKVcCa3,34,0.622,0.81,-4.547,0.585,0.0182,0.25,0.0,179.611,[],0B3N0ZINFWvizfa8bKiz4v
242,32lmL4vQAAotg6MrJnhlQZ,0,0.725,0.534,-6.238,0.558,0.0752,0.0946,0.0,91.974,"['barbadian pop', 'pop', 'urban contemporary']",5pKCCKE2ajJHZ9KAiaK11H
243,65uxT4ZGe6eOABj1g5V2Fj,49,0.818,0.606,-8.537,0.523,0.676,0.0395,0.00016,127.049,['v-pop'],1nX1HVIUo1Zfs3e2v3lFb9
244,1WIfWj5skn5UUZTs4cEFBe,54,0.799,0.436,-9.975,0.311,0.283,0.379,0.000105,80.028,"['pop', 'pop r&b']",6LuN9FCkKOj5PcnpouEgny
245,0MiTD6OptaqpwrDeLHZsq6,45,0.307,0.367,-8.476,0.395,0.708,0.0337,4.16e-05,66.68,['korean pop'],4EPYWwU4c8eG2GzD7MenUA
246,7oHijHxh7cI40fNC4S619V,50,0.674,0.413,-8.051,0.206,0.715,0.0351,6.64e-05,139.976,['alt z'],4xnihxcoXWK3UqryOSnbw5
