track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo
5K7AMlpc4796JRWXb26nCV,69,0.371,0.609,-5.524,0.426,0.0295,0.0,136.526
3K7vPyMCcecKRotnu08MMP,60,0.635,0.274,-13.53,0.316,0.033,0.0,93.025
6l9sGLm3Sul0unxCZBV7Cq,20,0.492,0.245,-13.136,0.337,0.0271,0.0,149.041
60mGckXEG1EzR4VmjYLfEW,67,0.626,0.425,-15.656,0.952,0.0356,0.0,150.875
51A8eKvvZz9uydvIZ7xRSV,64,0.454,0.555,-6.69,0.171,0.0283,0.0,171.862
2puuGWczAKTHZ2vIJmp8B8,27,0.804,0.437,-11.841,0.819,0.0426,0.0,84.987
5fVZC9GiM4e8vu99W0Xf6J,81,0.64,0.743,-4.08,0.361,0.0379,0.0,122.035
3hUxzQpSfdDqwM3ZTFQY0K,86,0.532,0.623,-9.208,0.403,0.0331,7.28e-05,89.937
5jzDnEoTtwzvJfvVx52rDC,61,0.476,0.495,-9.949,0.446,0.0301,1.97e-06,180.191
3qE6p9fN4YeILT0cQcY1cD,66,0.549,0.89,-7.973,0.84,0.0613,0.00053,149.092
0aV5uARAknQgYhBaK944FP,80,0.483,0.84,-6.508,0.55,0.119,0.000575,157.979
3pUa0ZxdSeaJXm0EIydD3F,70,0.488,0.832,-6.508,0.554,0.114,0.00288,157.984
2hKdd3qO7cWr2Jo0Bcs0MA,80,0.481,0.638,-5.862,0.497,0.0276,0.0,79.064
7IljDTNkQEyy77CcaRbiAj,65,0.231,0.477,-7.748,0.235,0.029,2.61e-06,95.969
4llK75pXNWZz6KAho2Gp16,81,0.651,0.663,-5.569,0.465,0.0281,0.0,102.0
4FFSK1xgCLkTZJLUERLZKG,61,0.712,0.44,-11.566,0.312,0.0413,0.0,123.958
2DnJjbjNTV9Nd5NOa1KGba,77,0.659,0.678,-8.18,0.647,0.0313,6.69e-06,106.186
1XpYodsD36XN7ygcdF7mJJ,69,0.642,0.289,-9.918,0.407,0.0367,0.0,84.996
1eyq8cjUQ2daFthW2PC2GM,73,0.52,0.61,-7.935,0.329,0.0282,2.95e-06,144.983
3iMLRCGHLQ135LtMjKLkO8,60,0.671,0.514,-13.561,0.803,0.0239,1.53e-05,100.771
2bCQHF9gdG5BNDVuEIEnNk,76,0.853,0.981,-3.947,0.595,0.0751,0.468,118.193
2TPcH3YlcOa6vWxS63VILx,41,0.726,0.486,-8.774,0.476,0.0237,0.00022,95.983
32iNr3J93tqFkxaMYwdRYi,69,0.456,0.383,-9.184,0.301,0.0344,0.0,179.772
0NFVg74sSsdU1gNc9xfpIO,68,0.6,0.537,-7.972,0.316,0.0273,0.303,78.049
21n769QrJtrmN0pXuBkYOm,54,0.555,0.502,-11.222,0.218,0.0256,0.0,113.369
7sapKrjDij2fpDVj0GxP66,73,0.706,0.713,-5.512,0.544,0.0301,0.0,102.037
6yLIqXX9edg1x0HZS7cZEv,67,0.279,0.473,-8.375,0.246,0.0309,0.00164,167.792
1M39ETXmej4g9EMSeXPUgj,68,0.685,0.522,-9.635,0.509,0.0415,1.31e-06,156.529
61y28QdZIXzVtNIs3xZuaT,49,0.757,0.489,-10.924,0.875,0.0346,0.613,136.644
2qxXypNXOJZ5qUFdpzJ56n,61,0.45,0.602,-4.801,0.316,0.0264,0.0,170.043
6YPb7DMon2lInNJciLwgzG,51,0.281,0.339,-11.472,0.163,0.0288,0.903,125.207
1GeNWyZtCHbcp3ZWp8GTOO,77,0.548,0.294,-17.112,0.491,0.0333,3.34e-06,76.698
1wtOxkiel43cVs0Yux5Q4h,83,0.663,0.319,-13.481,0.193,0.0375,0.000993,109.957
5mnvqisoDJilY0uCEdT8rG,51,0.507,0.198,-16.089,0.601,0.0324,0.0,141.261
7FMXSSzIRW8aJwUPfzXsa2,53,0.431,0.485,-11.844,0.699,0.0279,0.27,177.329
