,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe
1837,Constance Lucas,Open to return,Open to return,5M6q2VBF4KLF961xGLPFw9,0.429,0.0542,0,-28.538,1,0.0404,0.928,0.105,0.142,72.862,103980,3,0.994,70,1/13/23,chill
1838,Klur,Entangled (Ole-Bjørn Talstad Rework),Entangled - Ole-Bjørn Talstad Rework,3ZvBA6TQA4CTOZNOyxou90,0.31,0.0352,6,-28.139,0,0.0336,0.908,0.0978,0.148,157.343,133488,3,0.98,70,7/27/22,chill
1839,Jozef De Schutter,Lyrides,Lyrides,7hVcd9PDdO0xK8vE3WQqnV,0.297,0.0126,7,-27.76,1,0.0442,0.913,0.0785,0.386,171.767,163000,4,0.994,70,8/26/22,chill
1840,Aramis Morel,Emerald Enlightenment,Emerald Enlightenment,4uoJsS8jQmsHmdoORGzxh0,0.412,0.0289,10,-32.394,1,0.0517,0.958,0.0895,0.27,151.381,99568,3,0.996,69,1/13/23,chill
1841,Junie Graziano,Never Let You Go,Never Let You Go,4p1twb8bM9ZmWE2msuH8E8,0.407,0.00358,2,-27.226,1,0.0477,0.952,0.1,0.289,65.243,114233,4,0.995,67,3/31/23,chill
1842,Felix Tanguy,Waitings,Waitings,597H3V2av5dnxNcIDa4Yrk,0.344,0.0893,9,-26.873,1,0.0354,0.927,0.0958,0.178,94.414,139412,3,0.99,69,9/9/22,chill
1843,Vivian Roost,From Home,From Home,02VydYQOYaLGZX2MWoCCQ8,0.408,0.0632,0,-24.044,0,0.0371,0.927,0.175,0.256,126.995,202732,3,0.977,69,10/28/22,chill
1844,Oscar Mallen,Beauty,Beauty,0Q2cbRo8CSarvKg6rGc4iK,0.428,0.0258,2,-29.49,1,0.0398,0.959,0.107,0.179,89.923,156000,4,0.991,65,4/14/23,chill
1845,Malmkvist,Nordanvind,Nordanvind,42cskWMuFydbI9f9um1sTj,0.265,0.0119,3,-33.766,1,0.0526,0.946,0.097,0.35,99.932,127000,5,0.991,69,1/20/23,chill
1846,Nascondiglio,Lydian Fairytale,Lydian Fairytale,763DOeT2XIrzMjbC3LLF5i,0.428,0.0253,1,-29.558,1,0.0388,0.912,0.117,0.175,70.853,105787,4,0.991,68,12/30/22,chill
1847,Carluccio,Fiume,Fiume,0kpHSnJTru2qYTk0WFDsyA,0.361,0.0649,1,-23.25,1,0.0281,0.933,0.111,0.354,77.486,140125,4,0.984,67,3/10/23,chill
1848,Ivan Malik,Mercury,Mercury,1DeFsFITQCaI7J881M33W9,0.265,0.0104,8,-32,1,0.0411,0.911,0.115,0.115,81.119,180875,5,0.992,63,4/14/23,chill
1849,Yasuo Zen,Air from Air,Air from Air,7jUgBIVfc6C2YfFqFmETxz,0.538,0.0101,6,-29.191,1,0.0363,0.942,0.088,0.481,68.322,199429,4,0.995,68,3/3/23,chill
1850,Miran,Lisser,Lisser,7JuANIIOksqHRFXgE8tEld,0.325,0.0615,4,-27.534,1,0.0352,0.923,0.082,0.312,94.597,125042,3,0.984,67,3/3/23,chill
1851,Maya Sarfatto,Pines and Cedars,Pines and Cedars,4EIbWNNAT3TqvzflNhGKyU,0.439,0.0237,6,-30.434,1,0.0397,0.938,0.0969,0.16,113.805,150898,4,0.994,67,2/10/23,chill
1852,Jani Lechleiter,Má sestra,Má sestra,49VzYsJHrITQOn28WBMztb,0.496,0.0317,3,-25.204,0,0.0479,0.954,0.105,0.256,73.191,125056,4,0.995,69,10/7/22,chill
1853,Zander Shaelyn,Nouvelles Tentatives,Nouvelles Tentatives,6rvmhiAd5jtT5CzLIcnj4p,0.405,0.0187,10,-29.086,1,0.0372,0.924,0.107,0.229,75.78,120269,1,0.986,68,11/11/22,chill
1854,Li Zemin,The Meadows 草地,The Meadows 草地,7hb7SEHUZXGA6O3ZZBoQGn,0.366,0.0905,10,-27.851,0,0.0408,0.833,0.09,0.234,124.479,170738,4,0.987,65,3/17/23,chill
1855,BigRicePiano,to god knows where,to god knows where - silence,7a4ZCgxbjGlcOEDXeadkGS,0.323,0.0015,1,-36.751,1,0.0447,0.951,0.109,0.298,61.605,204375,4,0.992,66,3/2/23,chill
1856,Ludovico Einaudi,The Tree,The Tree,6eir7TDacjXjFscPxDFHC4,0.225,0.00332,5,-38.899,1,0.0546,0.945,0.0936,0.394,67.988,199167,3,0.994,71,1/6/23,chill
1857,Claire Lerdier,Solace,Solace,6axlKJ7OnW6zxM16Hxwbb0,0.642,0.0202,3,-30.725,1,0.0424,0.928,0.115,0.174,101.97,151765,3,0.994,69,12/9/22,chill
1858,Tom Kristiaan,Petites danses et rêveries,Un sourire et une larme (valse),70pC9IQb39VDNUm3Uio5kD,0.441,0.018,10,-27.154,0,0.0456,0.952,0.116,0.204,107.794,146091,3,0.994,68,5/20/22,chill
1859,Isshi Matsuriza,Shizukana,Shizukana,63oFS9JTsvadCXUqwqA7p0,0.47,0.0593,7,-28.563,1,0.0355,0.934,0.104,0.178,113.418,131787,4,0.99,67,4/8/22,chill
1860,Patrick Buote,Release from silence,Release from silence,2t9Fi5LCyFyha1EfaPqVD9,0.243,0.0101,1,-29.778,1,0.0401,0.908,0.0981,0.127,172.937,137642,4,0.976,67,2/17/23,chill
1861,Nina Fiadh,Moondust,Moondust,3Kd4HLl20kMtG64MrdVJ86,0.464,0.0137,7,-27.086,1,0.0496,0.969,0.105,0.292,102.008,115566,4,0.992,64,3/31/23,chill
1862,Henriette Fleich,For the Love of You,For the Love of You,7hJHeX4A3TdI0cDElWu3Zk,0.463,0.0258,1,-29.634,1,0.0411,0.943,0.11,0.303,116.571,107730,4,0.991,63,4/14/23,chill
