,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe
598,Meghan Trainor,Takin' It Back,Made You Look,0QHEIqNKsMoOY5urbzN48u,0.838,0.525,10,-3.562,1,0.0665,1.92E-06,0.0771,0.884,144.981,134256,4,0.345,90,10/21/22,upbeat
599,Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0,0.335,0.557,95.39,174000,4,0.122,89,12/13/19,upbeat
600,Glass Animals,Dreamland,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,6.70E-06,0.0921,0.531,80.87,238805,4,0.44,89,8/7/20,upbeat
601,Ed Sheeran,÷ (Deluxe),Shape of You,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,1,-3.183,0,0.0802,0,0.0931,0.931,95.977,233713,4,0.581,88,3/3/17,upbeat
602,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,2.19E-05,0.0814,0.592,123.994,214847,4,0.037,87,4/6/18,upbeat
603,Coolio,Gangsta's Paradise,Gangsta's Paradise,1DIXPcTDzTj8ZMHt3PDt8p,0.647,0.514,8,-10.05,1,0.0593,0,0.398,0.386,79.975,240693,4,0.0655,87,11/7/95,upbeat
604,Shawn Mendes,Illuminate (Deluxe),There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,0.866,0.813,11,-4.063,0,0.0554,0,0.0779,0.969,121.998,199440,4,0.38,87,4/20/17,upbeat
605,Avicii,TRUE,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,0.532,0.783,2,-5.697,1,0.0523,0.0012,0.161,0.643,124.08,247427,4,0.0038,87,1/1/13,upbeat
606,Doja Cat,Planet Her,Woman,6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.00294,0.117,0.881,107.998,172627,4,0.0888,87,6/25/21,upbeat
607,Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,4.19E-05,0.0952,0.942,116.032,202735,4,0.034,86,8/13/21,upbeat
608,Olivia Rodrigo,SOUR,good 4 u,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0,0.0849,0.688,166.928,178147,4,0.335,86,5/21/21,upbeat
609,The Kid LAROI,F*CK LOVE 3+: OVER YOU,STAY (with Justin Bieber),567e29TDzLwZwfDuEpGTwo,0.591,0.764,1,-5.484,1,0.0483,0,0.103,0.478,169.928,141806,4,0.0383,86,7/27/21,upbeat
610,Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,7.00E-06,0.102,0.569,99.048,207133,4,0.0237,85,12/13/19,upbeat
611,Ed Sheeran,=,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0,0.0424,0.822,141.02,207853,4,0.281,87,10/29/21,upbeat
612,The Chainsmokers,Closer,Closer,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0,0.111,0.661,95.01,244960,4,0.414,85,7/29/16,upbeat
613,Måneskin,Chosen,Beggin',3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0,0.0504,0,0.359,0.589,134.002,211560,4,0.127,85,12/8/17,upbeat
614,Nelly Furtado,Loose,Promiscuous,2gam98EZKrF9XuOkU13ApN,0.808,0.97,10,-6.098,0,0.0506,6.13E-05,0.154,0.868,114.328,242293,4,0.0569,84,1/1/06,upbeat
615,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,1,-3.804,1,0.0619,0,0.257,0.619,128.038,199080,4,0.00701,84,12/2/14,upbeat
616,Marshmello,Leave Before You Love Me,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,0.721,0.738,7,-4.77,1,0.0403,4.41E-06,0.118,0.637,119.976,154983,4,0.00226,84,5/21/21,upbeat
617,Farruko,Pepas,Pepas,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,6.98E-05,0.128,0.442,130.001,287120,4,0.00776,84,6/24/21,upbeat
618,The Weeknd,Beauty Behind The Madness,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,0.705,0.769,9,-5.526,0,0.0425,0,0.105,0.583,107.949,213520,4,0.113,84,8/28/15,upbeat
619,Calvin Harris,This Is What You Came For,This Is What You Came For,0azC730Exh71aQlOt9Zj3y,0.631,0.927,9,-2.787,0,0.0332,0.119,0.148,0.465,123.962,222160,4,0.199,84,4/29/16,upbeat
620,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,194088,4,0.328,84,3/29/19,upbeat
621,Ed Sheeran,=,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,2.79E-05,0.366,0.537,126.011,230747,4,0.0451,86,10/29/21,upbeat
622,GAYLE,abcdefu,abcdefu,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,1,0.0493,0,0.367,0.415,121.932,168602,4,0.299,84,8/13/21,upbeat
623,Mark Ronson,Uptown Special,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,0,-7.223,1,0.0824,8.15E-05,0.0344,0.928,114.988,269667,4,0.00801,84,1/12/15,upbeat
624,Marshmello,Happier,Happier,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,5,-2.749,1,0.0452,0,0.167,0.671,100.015,214290,4,0.191,84,8/17/18,upbeat
625,Lady Gaga,The Fame Monster (Deluxe Edition),Bad Romance,0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,-3.755,1,0.0363,5.24E-05,0.0842,0.714,119.001,294573,4,0.00314,83,11/5/09,upbeat
626,Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,1,0.0466,0,0.0703,0.913,89.911,158040,4,0.556,83,12/14/18,upbeat
627,Rihanna,Loud (Japan Version),Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,0.789,0.706,11,-4.233,0,0.0429,1.71E-05,0.0586,0.638,125.911,235493,4,0.112,83,1/1/10,upbeat
628,Dua Lipa,Future Nostalgia,Levitating,39LLxExYz6ewLAcYrzQQyP,0.695,0.884,6,-2.278,0,0.0753,0,0.213,0.914,103.014,203808,4,0.0561,83,3/27/20,upbeat
629,Pitbull,Planet Pit (Deluxe Version),"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",4QNpBfC0zvjKqPJcyqBy9W,0.671,0.939,8,-3.206,1,0.161,0,0.298,0.53,129.024,252307,4,0.191,83,6/17/11,upbeat
630,Panic! At The Disco,Pray for the Wicked,High Hopes,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,5,-2.729,1,0.0618,0,0.064,0.681,82.014,190947,4,0.193,83,6/22/18,upbeat
631,The Weeknd,Save Your Tears (Remix),Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,0.65,0.825,0,-4.645,1,0.0325,2.44E-05,0.0936,0.593,118.091,191014,4,0.0215,83,4/23/21,upbeat
632,Whitney Houston,Whitney,I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,0.709,0.824,1,-8.824,1,0.0453,0.000307,0.0888,0.867,118.818,291293,4,0.207,83,6/2/87,upbeat
633,Dua Lipa,Future Nostalgia,Don't Start Now,3PfIrDoz19wz7qK7tYeu62,0.793,0.793,11,-4.521,0,0.083,0,0.0951,0.679,123.95,183290,4,0.0123,83,3/27/20,upbeat
634,Outkast,Speakerboxxx/The Love Below,Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,0.727,0.974,4,-2.261,0,0.0664,0.000532,0.174,0.965,79.526,235213,4,0.103,83,2003,upbeat
635,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0,0.0501,0.894,149.995,212000,4,0.0203,83,7/23/21,upbeat
636,Kesha,Animal (Expanded Edition),TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2,-2.718,0,0.142,0,0.289,0.714,120.028,199693,4,0.0991,83,1/1/10,upbeat
637,BTS,BE,Dynamite,5QDLhrAOJJdNAmCTJ8xMyW,0.746,0.765,6,-4.41,0,0.0993,0,0.0936,0.737,114.044,199054,4,0.0112,83,11/20/20,upbeat
638,Pitbull,Global Warming: Meltdown (Deluxe Version),Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,0.581,0.963,11,-4.087,1,0.0981,0,0.139,0.788,129.992,204160,4,0.0295,83,2012,upbeat
639,Macklemore & Ryan Lewis,The Heist,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,2,-4.457,1,0.0786,0,0.0862,0.847,146.078,258343,4,0.0291,83,10/9/12,upbeat
640,Selena Gomez & The Scene,When The Sun Goes Down,Love You Like A Love Song,0laYHRpNTS6i8FXdupHkJ4,0.858,0.678,1,-3.87,0,0.0469,0,0.0741,0.922,117.009,188453,4,0.0761,83,1/1/11,upbeat
641,Justin Bieber,Purpose (Deluxe),Sorry,09CtPGIpYB4BrO8qb1RGsF,0.654,0.76,0,-3.669,0,0.045,0,0.299,0.41,99.945,200787,4,0.0797,83,11/13/15,upbeat
642,Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2Foc5Q5nqNiosCNqttzHof,0.794,0.811,6,-8.966,0,0.038,1.07E-06,0.101,0.862,116.047,248413,4,0.0426,82,4/19/13,upbeat
643,DNCE,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4,-5.446,0,0.0517,0,0.0371,0.896,119.002,219147,4,0.152,82,11/18/16,upbeat
644,ACRAZE,Do It To It,Do It To It,20on25jryn53hWghthWWW3,0.854,0.806,11,-8.262,0,0.0886,0.0542,0.0703,0.637,124.927,157890,4,0.0209,82,8/20/21,upbeat
645,Maroon 5,V,Sugar,2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1,-7.055,1,0.0334,0,0.0863,0.884,120.076,235493,4,0.0591,82,9/2/14,upbeat
646,24kGoldn,El Dorado,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,7,-3.671,0,0.0361,0,0.324,0.732,91.007,140533,4,0.174,82,3/26/21,upbeat
647,MKTO,MKTO,Classic,6FE2iI43OZnszFLuLtvvmg,0.72,0.791,1,-4.689,1,0.124,0,0.157,0.756,102.071,175427,4,0.0384,82,2012,upbeat
648,Ava Max,Heaven & Hell,Kings & Queens,7a53HqqArd4b9NF4XAmlbI,0.637,0.69,1,-4.057,0,0.0405,0,0.124,0.457,129.857,162399,4,0.00786,82,9/18/20,upbeat
649,Pharrell Williams,G I R L,"Happy - From ""Despicable Me 2""",60nZcImufyMA1MKQY3dcCH,0.647,0.822,5,-4.662,0,0.183,0,0.0908,0.962,160.019,232720,4,0.219,82,3/3/14,upbeat
650,Doja Cat,Planet Her,Need to Know,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0,0.0926,0.194,130.041,210560,4,0.304,82,6/25/21,upbeat
651,Jonas Brothers,Happiness Begins,Sucker,22vgEDb5hykfaTwLuskFGD,0.842,0.734,1,-5.065,0,0.0588,0,0.106,0.952,137.958,181027,4,0.0427,82,6/7/19,upbeat
652,Dua Lipa,Dua Lipa (Deluxe),New Rules,2ekn2ttSfGqwhhate0LSR0,0.762,0.7,9,-6.021,0,0.0694,1.56E-05,0.153,0.608,116.073,209320,4,0.00261,81,6/2/17,upbeat
653,Tiësto,The Business,The Business,6f3Slt0GbA2bPZlz0aIFXN,0.798,0.62,8,-7.079,0,0.232,0.0192,0.112,0.235,120.031,164000,4,0.414,81,9/16/20,upbeat
654,Taylor Swift,Lover,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,0.771,0.671,2,-5.617,1,0.0553,0,0.0637,0.714,85.026,171360,4,0.00929,81,8/23/19,upbeat
655,Zedd,The Middle,The Middle,09IStsImFySgyp0pIQdqAc,0.753,0.657,7,-3.061,1,0.0449,0,0.112,0.437,107.01,184732,4,0.171,81,1/23/18,upbeat
656,Riton,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,0.824,0.862,2,-3.424,1,0.126,0.000132,0.303,0.801,122.98,169153,4,0.0076,81,1/15/21,upbeat
657,Doja Cat,Planet Her,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,0.764,0.705,8,-3.463,1,0.0284,8.92E-05,0.12,0.781,110.97,208667,4,0.259,82,6/25/21,upbeat
658,Ava Max,Heaven & Hell,Sweet but Psycho,7DnAm9FOTWE3cUvso43HhI,0.72,0.706,1,-4.719,1,0.0473,0,0.166,0.62,133.002,187436,4,0.0684,81,9/18/20,upbeat
659,Camila Cabello,Camila,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.03,3.56E-05,0.132,0.394,104.988,217307,4,0.184,81,1/12/18,upbeat
660,Miley Cyrus,Bangerz (Deluxe Version),We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,0.613,0.622,1,-5.794,0,0.0334,0,0.37,0.484,80.003,231240,4,0.00882,81,10/4/13,upbeat
661,Rihanna,Music Of The Sun,Pon de Replay,4TsmezEQVSZNNPv5RJ65Ov,0.779,0.64,7,-8.415,1,0.159,0.00077,0.101,0.498,99.019,246960,4,0.000155,81,8/29/05,upbeat
662,Selena Gomez,Wolves,Wolves,0tBbt8CrmxbjRP0pueQkyU,0.724,0.804,11,-4.614,0,0.0448,0,0.204,0.306,124.987,197993,4,0.124,81,10/25/17,upbeat
663,Don Omar,Meet The Orphans,Danza Kuduro,2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,0,-4.89,1,0.28,0,0.0503,0.878,88.917,198773,3,0.0846,80,1/1/10,upbeat
664,Taylor Swift,1989,Blank Space,1p80LdxRV74UKvL8gnD7ky,0.753,0.678,5,-5.421,1,0.0644,1.64E-06,0.13,0.583,96.006,231827,4,0.085,80,10/27/14,upbeat
665,Flo Rida,Wild Ones,Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,0.608,0.86,5,-5.324,0,0.0554,0,0.262,0.437,127.075,232947,4,0.0991,80,6/22/12,upbeat
666,Jessie J,Sweet Talker (Deluxe Version),Bang Bang,0puf9yIluy9W0vpMEUoAnN,0.706,0.786,0,-3.417,0,0.091,0,0.38,0.751,150.028,199387,4,0.26,80,10/14/14,upbeat
667,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,1,0.0662,1.14E-05,0.0489,0.905,122.953,166028,4,0.168,80,7/3/20,upbeat
668,Lizzo,Special,About Damn Time,6HMtHNpW6YPi1hrw9tgF8P,0.836,0.743,10,-6.305,0,0.0653,0,0.335,0.723,108.965,191938,4,0.0974,80,7/15/22,upbeat
669,Jennifer Lopez,Love?,On The Floor,3C0nOe05EIt1390bVABLyN,0.73,0.777,3,-5.194,0,0.0496,0.000478,0.0691,0.575,130,284867,4,0.105,80,1/1/11,upbeat
670,Jason Derulo,Acapulco,Acapulco,3eJH2nAjvNXdmPfBkALiPZ,0.774,0.792,10,-4.021,1,0.0523,0,0.155,0.507,122.062,139672,4,0.051,80,9/3/21,upbeat
671,Bruno Mars,24K Magic,24K Magic,6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1,-4.282,1,0.0797,0,0.153,0.632,106.97,225983,4,0.034,80,11/17/16,upbeat
672,P!nk,Raise Your Glass,Raise Your Glass,1gv4xPanImH17bKZ9rOveR,0.7,0.709,7,-5.006,1,0.0838,0,0.029,0.624,122.019,202960,4,0.0048,80,10/5/10,upbeat
673,Cardi B,Invasion of Privacy,I Like It,58q2HKrzhC3ozto2nDdN4z,0.816,0.726,5,-3.998,0,0.129,0,0.372,0.65,136.048,253390,4,0.099,79,4/6/18,upbeat
674,Avicii,TRUE,Hey Brother,4lhqb6JvbHId48OUJGwymk,0.545,0.78,7,-4.867,0,0.0436,4.64E-05,0.0828,0.458,125.014,255093,4,0.0309,79,1/1/13,upbeat
675,Beyoncé,Dangerously In Love,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,0.646,0.77,2,-6.596,0,0.226,0,0.0715,0.681,99.165,236133,4,0.00249,79,6/24/03,upbeat
676,Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,1,0.0478,0.00747,0.0374,0.796,123.97,162604,4,0.018,79,8/13/21,upbeat
677,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,2.54E-06,0.0921,0.699,110.054,160657,4,0.0018,79,9/24/21,upbeat
678,Portugal. The Man,Woodstock,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,1,-5.115,0,0.0504,0.000113,0.0717,0.754,79.028,163253,4,0.0417,79,6/16/17,upbeat
679,Kesha,Warrior (Expanded Edition),Die Young,7EQGXaVSyEDsCWKmUcfpLk,0.711,0.7,1,-4.805,0,0.046,0.000125,0.215,0.801,128.001,211920,4,0.00498,79,11/30/12,upbeat
680,BTS,Proof,Butter,6jjYDGxVJsWS0a5wlVF5vS,0.759,0.459,8,-5.187,1,0.0948,0,0.0788,0.695,109.997,164952,4,0.00323,79,6/10/22,upbeat
681,Ariana Grande,My Everything (Deluxe),Break Free,12KUFSHFgT0XCoiSlvdQi4,0.687,0.702,7,-5.324,0,0.0455,4.35E-05,0.204,0.284,129.956,214840,4,0.0064,79,8/25/14,upbeat
682,Doja Cat,Hot Pink,Say So,3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,11,-4.583,0,0.159,3.35E-06,0.0904,0.779,110.962,237893,4,0.264,79,11/7/19,upbeat
683,Lil Nas X,7 EP,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,0.878,0.619,6,-5.56,1,0.102,0,0.113,0.639,136.041,157067,4,0.0533,79,6/21/19,upbeat
684,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,6,-6.4,0,0.0924,0.000104,0.149,0.513,98.027,209438,4,0.692,78,10/17/19,upbeat
685,Miley Cyrus,The Time Of Our Lives,Party In The U.S.A.,5Q0Nhxo0l2bP3pNjpGJwV1,0.652,0.698,10,-4.667,0,0.042,0.000115,0.0886,0.47,96.021,202067,4,0.00112,78,1/1/09,upbeat
686,Ariana Grande,Sweetener,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,9,-5.507,0,0.0594,3.11E-06,0.294,0.354,121.993,205920,4,0.04,79,8/17/18,upbeat
687,MEDUZA,Paradise,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0,0.0401,0,0.209,0.435,124.114,167903,4,0.0689,78,10/30/20,upbeat
688,Lady Gaga,The Fame,Poker Face,5R8dQOPq8haW94K7mgERlO,0.851,0.806,4,-4.62,1,0.0787,1.64E-06,0.121,0.787,118.999,237200,4,0.118,78,1/1/08,upbeat
689,Justin Timberlake,Justified,Rock Your Body,1AWQoqb9bSvzTjaLralEkT,0.892,0.714,4,-6.055,0,0.141,0.000234,0.0521,0.817,100.972,267267,4,0.201,78,11/4/02,upbeat
690,Topic,Breaking Me,Breaking Me,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0,0.129,0.664,122.031,166794,4,0.223,78,12/19/19,upbeat
691,Galantis,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0,0.0608,0.479,124.111,183726,4,0.216,78,5/20/21,upbeat
692,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,0.842,0.801,8,-4.167,0,0.228,4.82E-06,0.0642,0.617,95.881,212500,4,0.157,78,9/28/18,upbeat
693,Sean Paul,Dutty Rock (20th Anniversary),Get Busy,6bK9BH9Ts8Gj5JFvnQkzak,0.741,0.824,10,-4.143,0,0.0352,0,0.158,0.725,100.216,211666,4,0.614,77,11/11/22,upbeat
694,Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4,0.342,92,3/31/22,upbeat
695,The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,9.54E-05,0.0897,0.334,171.005,200040,4,0.00146,92,3/20/20,upbeat
696,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0,0.105,0.446,109.891,182161,4,0.751,89,5/17/19,upbeat
697,Bruno Mars,Unorthodox Jukebox,Locked out of Heaven,3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,5,-4.165,1,0.0431,0,0.309,0.867,143.994,233478,4,0.049,88,12/7/12,upbeat
698,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,0.791,0.862,9,-3.24,0,0.11,2.19E-05,0.0814,0.592,123.994,214847,4,0.037,87,4/6/18,upbeat
699,Coldplay,Viva La Vida or Death and All His Friends,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,3.23E-06,0.109,0.417,138.015,242373,4,0.0954,87,5/26/08,upbeat
700,a-ha,Hunting High and Low,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.00125,0.0928,0.876,84.412,225280,4,0.018,87,6/1/85,upbeat
701,Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0,0.335,0.557,95.39,174000,4,0.122,89,12/13/19,upbeat
702,Ed Sheeran,=,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0,0.0424,0.822,141.02,207853,4,0.281,87,10/29/21,upbeat
703,The Police,Synchronicity (Remastered 2003),Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,0.82,0.452,1,-9.796,1,0.0348,0.00294,0.0714,0.74,117.401,253920,4,0.543,87,6/17/83,upbeat
704,Shawn Mendes,Illuminate (Deluxe),There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,0.866,0.813,11,-4.063,0,0.0554,0,0.0779,0.969,121.998,199440,4,0.38,87,4/20/17,upbeat
705,Avicii,TRUE,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,0.532,0.783,2,-5.697,1,0.0523,0.0012,0.161,0.643,124.08,247427,4,0.0038,87,1/1/13,upbeat
706,James Arthur,Back from the Edge,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,1,0.059,0,0.0902,0.494,85.043,211467,4,0.695,87,10/28/16,upbeat
707,Imagine Dragons,Evolve,Thunder,1zB4vmk8tFRmM9UULNzbLB,0.605,0.822,0,-4.833,1,0.0438,0.134,0.147,0.288,167.997,187147,4,0.00671,86,6/23/17,upbeat
708,Rihanna,ANTI (Deluxe),Love On The Brain,5oO3drDxtziYU2H1X23ZIp,0.509,0.637,4,-4.83,0,0.0471,1.08E-05,0.0789,0.378,172.006,224000,3,0.0717,86,1/28/16,upbeat
709,Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,4.19E-05,0.0952,0.942,116.032,202735,4,0.034,86,8/13/21,upbeat
710,John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a,0.422,0.264,8,-7.064,1,0.0322,0,0.132,0.331,119.93,269560,4,0.922,86,8/30/13,upbeat
711,Ed Sheeran,x (Deluxe Edition),Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.000464,0.0986,0.201,107.989,258987,4,0.607,86,6/21/14,upbeat
712,Shawn Mendes,Illuminate,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.819,10,-4.078,0,0.341,0,0.107,0.747,82.695,187973,4,0.106,86,4/20/17,upbeat
713,The Chainsmokers,Memories...Do Not Open,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11,-6.769,0,0.0317,1.44E-05,0.164,0.446,103.019,247160,4,0.0498,86,4/7/17,upbeat
714,Bon Jovi,Slippery When Wet,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,0.532,0.887,0,-3.757,1,0.0335,0.000214,0.294,0.795,122.511,249293,4,0.0778,86,8/16/86,upbeat
715,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),Before You Go,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0,0.0885,0.183,111.881,215107,4,0.604,86,11/22/19,upbeat
716,Ed Sheeran,=,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,2.79E-05,0.366,0.537,126.011,230747,4,0.0451,86,10/29/21,upbeat
717,Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,7.00E-06,0.102,0.569,99.048,207133,4,0.0237,85,12/13/19,upbeat
718,Sam Smith,The Thrill Of It All (Special Edition),Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,0.681,0.372,5,-8.237,1,0.0432,0,0.169,0.476,91.873,201000,4,0.64,85,11/3/17,upbeat
719,Lady Gaga,A Star Is Born Soundtrack,Shallow,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,7,-6.362,1,0.0308,0,0.231,0.323,95.799,215733,4,0.371,85,10/5/18,upbeat
720,Coldplay,Ghost Stories,A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ,0.545,0.675,6,-6.474,1,0.0279,0.00197,0.209,0.162,124.97,267867,4,0.00617,85,5/19/14,upbeat
721,Justin Bieber,Purpose (Deluxe),Love Yourself,50kpGaPAhYJ3sGmk6vplg0,0.609,0.378,4,-9.828,1,0.438,0,0.28,0.515,100.418,233720,4,0.835,85,11/13/15,upbeat
