,track_uri,artist_uri,genres
586,6z7fZRrQfOH3ZjWEkC4QhC,0p4nmQO2msCgU4IF37Wi3j,pop
587,0ZFqB9g2FujbmMSrjqsL3j,3fMbdgg4jU18AjLCKBhRSm,r&b
587,0ZFqB9g2FujbmMSrjqsL3j,3fMbdgg4jU18AjLCKBhRSm,soul
588,0dd5fVnl2V03BdZD5dKYgQ,7H55rcKCfwqkyDFH9wpKM6,pop
589,2Zg0aB5oVQlbQE1vzQmIIY,2RQXRUsr4IW1f3mKyKsy4B,pov: indie
590,3K7xYRXPFDVyen7cZF5Zk2,6xfqnpe2HnLVUaYXs2F8YS,hollywood
591,6vxHp3CDNo0afgKGp2yi1E,2CvCyf1gEVhI0mX6aFXmVI,classic rock
591,6vxHp3CDNo0afgKGp2yi1E,2CvCyf1gEVhI0mX6aFXmVI,folk
591,6vxHp3CDNo0afgKGp2yi1E,2CvCyf1gEVhI0mX6aFXmVI,folk rock
591,6vxHp3CDNo0afgKGp2yi1E,2CvCyf1gEVhI0mX6aFXmVI,mellow gold
591,6vxHp3CDNo0afgKGp2yi1E,2CvCyf1gEVhI0mX6aFXmVI,permanent wave
591,6vxHp3CDNo0afgKGp2yi1E,2CvCyf1gEVhI0mX6aFXmVI,rock
591,6vxHp3CDNo0afgKGp2yi1E,2CvCyf1gEVhI0mX6aFXmVI,singer-songwriter
591,6vxHp3CDNo0afgKGp2yi1E,2CvCyf1gEVhI0mX6aFXmVI,soft rock
592,1xwAWUI6Dj0WGC3KiUPN0O,06HL4z0CvFAxyc27GXpf02,pop
593,5yeuXkukVGuix3vmLu2BPJ,06HL4z0CvFAxyc27GXpf02,pop
594,5eYPthJo4EOrlJP10uCrsx,4sIuoDOzSlBqeiNJl631zX,
595,5Yo8iKcDFk5aJ2Pntaz8UH,3pFCERyEiP5xeN2EsPXhjI,album rock
595,5Yo8iKcDFk5aJ2Pntaz8UH,3pFCERyEiP5xeN2EsPXhjI,blues rock
595,5Yo8iKcDFk5aJ2Pntaz8UH,3pFCERyEiP5xeN2EsPXhjI,classic rock
595,5Yo8iKcDFk5aJ2Pntaz8UH,3pFCERyEiP5xeN2EsPXhjI,folk rock
595,5Yo8iKcDFk5aJ2Pntaz8UH,3pFCERyEiP5xeN2EsPXhjI,heartland rock
595,5Yo8iKcDFk5aJ2Pntaz8UH,3pFCERyEiP5xeN2EsPXhjI,mellow gold
595,5Yo8iKcDFk5aJ2Pntaz8UH,3pFCERyEiP5xeN2EsPXhjI,rock
595,5Yo8iKcDFk5aJ2Pntaz8UH,3pFCERyEiP5xeN2EsPXhjI,singer-songwriter
595,5Yo8iKcDFk5aJ2Pntaz8UH,3pFCERyEiP5xeN2EsPXhjI,soft rock
596,4feXcsElKIVsGwkbnTHAfV,1Mxqyy3pSjf8kZZL4QVxS0,adult standards
596,4feXcsElKIVsGwkbnTHAfV,1Mxqyy3pSjf8kZZL4QVxS0,easy listening
596,4feXcsElKIVsGwkbnTHAfV,1Mxqyy3pSjf8kZZL4QVxS0,lounge
597,5xYwXcbCwdmLeOweJtJhEx,36eSjIksD6fehqxyDUHDA3,black comedy
